unique_ID,date,tank_ID,species,time_interval,sample_type,treatment,fate,infection_load_GE,
8.1.1,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.10,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.2,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.3,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.4,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.5,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.6,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.7,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.8,04/07/17,8,Ss,initial,swab,random,euthanased,0,
8.1.9,04/07/17,8,Ss,initial,swab,random,euthanased,0.013884138,
9.1.1,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0,
9.1.10,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0,
9.1.2,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0,
9.1.3,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0.071661291,
9.1.4,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0,
9.1.5,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0,
9.1.6,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0.068630371,
9.1.7,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0,
9.1.8,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0,
9.1.9,04/07/17,9,Ss,initial,swab,Ss (control),euthanased,0.001671398,
Ao8.1.1,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ao8.1.10,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ao8.1.2,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,6.902675629,
Ao8.1.3,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0.097215297,
Ao8.1.4,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ao8.1.5,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ao8.1.6,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ao8.1.7,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ao8.1.8,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ao8.1.9,04/07/17,Ao8,Ss,initial,swab,Ss + Bs,euthanased,0,
Ri1.1.1,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0.013580438,
Ri1.1.10,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0,
Ri1.1.2,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0,
Ri1.1.3,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0,
Ri1.1.4,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0.122037856,
Ri1.1.5,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0,
Ri1.1.6,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0.013323425,
Ri1.1.7,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0.034481024,
Ri1.1.8,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0,
Ri1.1.9,04/07/17,Ri1,Ss,initial,swab,random,euthanased,0,
Ri10.1.1,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0.176273379,
Ri10.1.10,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0.010186167,
Ri10.1.2,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri10.1.3,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri10.1.4,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0.048805741,
Ri10.1.5,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri10.1.6,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri10.1.7,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri10.1.8,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0.017831773,
Ri10.1.9,04/07/17,Ri10,Ss,initial,swab,Ss + Hm,euthanased,0,
Ri12.1.1,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.030039975,
Ri12.1.10,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri12.1.2,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri12.1.3,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.042198966,
Ri12.1.4,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.037384466,
Ri12.1.5,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0.105885081,
Ri12.1.6,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri12.1.7,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri12.1.8,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri12.1.9,04/07/17,Ri12,Ss,initial,swab,Ss + Bs + Hm,euthanased,0,
Ri13.1.1,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0.110722566,
Ri13.1.10,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0,
Ri13.1.2,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0,
Ri13.1.3,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0.071745613,
Ri13.1.4,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0,
Ri13.1.5,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0.02562026,
Ri13.1.6,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0,
Ri13.1.7,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0.005146603,
Ri13.1.8,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0,
Ri13.1.9,04/07/17,Ri13,Ss,initial,swab,random,euthanased,0.239523761,
Ri14.1.1,04/07/17,Ri14,Ss,initial,swab,random,euthanased,0,
Ri14.1.2,04/07/17,Ri14,Ss,initial,swab,random,euthanased,0,
Ri14.1.3,04/07/17,Ri14,Ss,initial,swab,random,euthanased,0.190315787,
Ri14.1.4,04/07/17,Ri14,Ss,initial,swab,random,euthanased,0,
Ri14.1.5,04/07/17,Ri14,Ss,initial,swab,random,euthanased,0.640712306,
Ri14.1.6,04/07/17,Ri14,Ss,initial,swab,random,euthanased,0,
Ri15.1.1,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0.313202851,
Ri15.1.10,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0,
Ri15.1.2,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0.375982337,
Ri15.1.3,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0.402326472,
Ri15.1.4,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0.073348517,
Ri15.1.5,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0.425356477,
Ri15.1.6,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0,
Ri15.1.7,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0.040357574,
Ri15.1.8,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0,
Ri15.1.9,04/07/17,Ri15,Ss,initial,swab,random,euthanased,0,
Ri16.1.1,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0.057294392,
Ri16.1.10,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0,
Ri16.1.2,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0,
Ri16.1.3,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0.13520278,
Ri16.1.4,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0,
Ri16.1.5,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0,
Ri16.1.6,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0,
Ri16.1.7,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0,
Ri16.1.8,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0.049732965,
Ri16.1.9,04/07/17,Ri16,Ss,initial,swab,Ss (control),euthanased,0.093398634,
Ri17.1.1,04/07/17,Ri17,Ss,initial,swab,Ss + Bs,euthanased,0.204363465,
